PG/Hostel Name,Area,Distance from Kondhwa campus (in km),Distance from Bibwewadi campus (in km),Rent (₹/month) app.,Deposit (₹),Sharing Type,Occupant Type (M/F),Food Included,Wi-Fi Speed (Mbps),AC,Curfew,Amenities,Source,Contact,
Stanza Living: Austin House,"Somji, near D-Mart",1.1,3.54,13599,10000,Single/Double,Any,Yes,10 mbps,No,No,"Attached Washroom, Spacious Cupboard, Hot and Delicious Meals, High-Speed WIFI, Laundry Service, Professional Housekeeping, Spacious Refrigerator, Washing Machine, 24x7 Security Surveillance, Water Purifier, Flat Screen Television",https://www.stanzaliving.com/pune/pg-in-kondhwa/co_ed/austin-house,                                                81938 16585,
Casa Living: Iris House,Betal Nagar,0.65,2.89,6500-9000,One Month,Double/Triple,Female,Optional,~10 mbps,No,10:00 PM,"Furnished Rooms, Laundry Services, Housekeeping, High-Speed Wi-Fi, Modern Kitchen Appliances, Gaming & Entertainment Zone, Full CCTV Surveillance, 24×7 Security & Residential Manager",https://thecasaliving.com/house/5/,                                                70306 28787,
Stanza Living: Juliaca House,"Yewalewadi,Kondhwa",3,5.5,8799,1-3 month,Double/Triple,Male,Yes,10 mbps,No,No,"Attached Washroom, Spacious Cupboard, Hot & Delicious Meals, High-Speed Wi-Fi, Laundry Service, Professional Housekeeping, Spacious Refrigerator, Washing Machine, 24×7 Security Surveillance, Water Purifier, Flat Screen Television",https://www.stanzaliving.com/pune/pg-in-kondhwa/male/juliaca-house,                                  93550 03787,
My Happy Home A,Mallik Nagar,1.2,2.25,10800 - 12100,5000,Triple/Quadruple,Male,Yes,,No,10:00 PM,,,"Mb. : 8431352604 , 8208553910)",
Studious Girls Hostel,Kondhwa,0.85,2.9,7500-8300,2000,Double/Triple,Female,No,NA,No,9:30 PM,"Study Lobby, Dining Area, Pure Veg Mess, Carrom, Foosball, Table Tennis, Wi-Fi, Washing Machine, Fire Extinguisher, Lady Guard, CCTV Surveillance, Solar Water, Generator Backup, Housekeeping",https://studioushostelpune.com/,7277272244,
Swami Krupa Boys Hostel,Hagawane Nagar Rd,0.8,2.9,10800,65000/sem,Double,Male,Yes,60-70 mbps,No,11:00 PM,"Mess Facility, Washing Machines (2), Personal Cupboard, High-Speed WiFi, 24/7 Security Surveillance, Water Purifier, Refrigerator for Drinks, Table Tennis & Indoor Games, Geyser, Study Table",Friend,,
Homies' Living Sapphire,Betal Nagar,0.3,,5830 - 7500,10000,Double,Male,On Demand,Not mentioned,No,10:30: PM,"High-speed wifi, CCTV, 24/7 Security guard, Common fridge, Common hangout area, Common TV, Common Washing machine, Common terrace, Kitchen, Parking, Power Backup, Central Wi-Fi, Indoor Games, Electricity Backup",Friend,                                                   95116 90732,
Sharvil Bungalow,Yashodhan society lane ,0.75,2.8,6250,5000,Double/Triple/Quadruple,Female,,,No,9:30 PM,"Washing Machine, Hot & Cold Water Filter, Geyser, Wi-Fi, Induction Cooktop, Power Backup",Friend,,
Alchemy Living,"Kapil Nagar, Kondhwa",0.95,3,10000,10000,Single,Male,Yes,,No,11:30 PM,Laundry,Friend,,
Shree Gajanan Boys Hostel,Shatrunjay Nagar,1.4,2.4,11200,10000,Triple,Male,Yes,~36 mbps,No,10:30 PM,"Washing Machine, Induction Cooktop, Electric Kettle, Iron",Friend,                                                80871 06227,
Aashirwad Hostel,Upper Indira Nagar,3.5,0.9,5420,2000,Single/Double/Triple,Male,No,245 mpbs,No,10:00 PM,"Attached Washroom, Spacious Cupboard, Hot and Delicious Meals, High-Speed Wi-Fi, Professional Housekeeping, Washing Machine, 24×7 Security Surveillance, Water Purifier",Friend,,
Supra PG,"Sainagar , kondhwa",1,2.1,6000,2000,Triple,Male,No,30 mbps,No,10:00 PM,,Friend,9800324212,
Jotirling Hostel,"Sainagar , kondhwa",1.2,2.5,5000,2000,Triple,Male,No,65  mbps,No,10:30 PM,"Hot and Cold Water, High Speed Wi-Fi",Friend,9822349676,
Shreeram flat,"sainagar , kondhwa",1.3,2.3,18000,4000,Six,Male,No,42 mbps,No,11:00 PM,,Friend,8308605513,
Nikhil boys hostel,"sukhasagar nagar, kondhawa",1.2,2.3,8000,,Triple,Male,Yes,50 mbps,No,11:00 PM," Washing Machine , Hot and Cold  water",Friend,9637824468,
Suprabhat Flat,"sainagar , kondhwa",1,1.5,14000,30000,four,Male,No,,No,10:00 PM,,,8010184562,
Standard living,Ambedkar  Nagar,0.8,3 .3,9000,10000,double, male,yes,15 mbps,No,11:00 PM,"Mess Facility, Washing Machines (2), Personal Cupboard, High-Speed WiFi, 24/7 Security Surveillance, Water Purifier, Refrigerator for Drinks , Geyser, Study Table",Friend,7355154113,
Vishwa Girls Hostel,Ashrafh nagar,0.5,2.5,9100,5000,Triple,Female,yes,72 mbps,No,09:00: PM,"Washing Machine, Induction Cooktop, Electric Kettle, Iron",Friend,,
diving Living hostel,Fornted of vit near panchtirth socitey,0.7,1.5,7000,2000,Double,Male,No,40 mbps,No,12:00: PM,"High-Speed Wi-Fi  , washing Machine, Induction Cooktop, Electric Kettle, Iron",Friend,7776906908,
Prabhukunj Hostel,Laxmi nagar kondhawa,0.9,2.3,4000,6000,Triple,Male,No,60,No,11:00: PM,"Induction Cooktop, Electric Kettle, Iron",Friend,9356759029,
Audumber Boys hostel,Ambedkar  Nagar,1,2.5,4000,10000,Double,Male,No,100 mbps,No,12:00 PM,"High-Speed Wi-Fi  , washing Machine",Friend,9168144251,
VIT Grils Hostel,Bibewadi ,3,1.5,6500,10000,Quadriple,Female,Yes,10 mbps,No,10:30 PM,"Mess Facility, Washing Machines",Friend,7058432250,
MVPM Laxmi hostel,Swargate,6,5,10000,5000,Double,Male,Yes,10 mbps,No,10:30 PM,"Washing Machine, HOt & Cold Water Filter, Geyser, Wi-Fi ",Friend,9763304933,
Sakhi Hostel,"Sainagar , kondhwa",1,3,10000,6000,Triple,Female,Yes,20 mbps,No,8:00 PM,"Washing Machine, HOt & Cold Water Filter , Wi-Fi ",Friend,7248921070,
Muktai Girls hostel,Salve Garden,1,2.5,8000,20000,Double,Female,Yes,50 mbps,No,8:30 PM,"Study Table , Mess Facility, Washing Machines",Friend,9822500632,
GuruKrupa Boys Hostel,"Gokul nagar , Satrunjay nagar, Kondhwa",1.9,2.8,10000,7000,Triple,Male,Yes,82 mbps,No,12:00 PM,"ashing Machine, HOt & Cold Water Filter , Wi-Fi , Parking , Food facility",Friend,7057263020,
Vishwkarma Boys hostel,MAllik Nagar,2,2.5,11000,5000,Triple,Male,Yes,130 mbps,No,12:00 AM,"Study Table , Mess Facility, Washing Machines",Friend,9529007742,
Shri GB Rathi Mahaeshawari Boys hostel,"Shtrunjay Nagar , Kondhwa",1.5,2.4,8000,6000,Quadriple,Male,No,120 mbps,No,11:30 PM,"Study Table,Washing Machines, coubard , Hot and Cold Water",Friend,9834213029,
Sadhivinayak Hostel ,"Near Vit college , Kondhwa Campus",0.95,2.4,7000,4000,Triple,Male,No,75 mbps,No,10:30 PM,"Study Table,Washing Machines, coubard , Hot and Cold Water",Friend,8237705344,
Samarth Boys Hostel,"Aanath thirth nagar , Kondhwa ",1.7,2.6,7500,6000,Quadriple,Male,NO,80 mbps,No,11:00 PM,"Study Table,Washing Machines , Parking , Hot and Cold water",Friend,7875778048,
Sarthak Boys Hostel,"Salve Garden , Sainagar , Kondhwa",1.3,1.9,7200,5000,Triple,Male,No,95 mbps,No,11:00 PM,"Washing Machine, HOt & Cold Water Filter , Wi-Fi ",Friend,9960751022,
